year,country,Strong (32-38),Very strong (38-46),Extreme (> 46)
2023,Afghanistan,45.1239013671875,25.632367451985676,6.530382792154948
2023,Bhutan,12.765921274820963,1.5557897885640461,0
2023,Brunei,128.92857869466147,16.830916086832683,0
2023,Cambodia,117.3429463704427,27.052454630533855,0.06211828192075094
2023,Nepal,48.79344177246094,18.99631627400716,0.819562832514445
2023,Indonesia,95.02634684244792,11.837122599283854,0
2023,Iran,57.65509541829427,28.244369506835938,9.575619379679361
2023,Singapore,82.95956929524739,8.416667302449545,0
2023,Laos,70.64509582519531,9.553245544433594,0.12336432933807373
2023,Malaysia,104.581787109375,10.016557057698568,0.041666666666666664
2023,Maldives,58.998779296875,0,0
2023,Pakistan,92.0975341796875,43.49352518717448,6.006451924641927
2023,Philippines,83.15392557779948,6.288702011108398,0
2023,Sri Lanka,84.13231913248698,12.490918477376303,0
2023,Thailand,101.43075561523438,22.69671885172526,0.2623599171638489
2023,Timor-Leste,67.477874755859375,3.349930763244629,0
2023,Vietnam,73.6533203125,13.537240346272787,0.08533679445584615
2023,Bangladesh,103.7119852701823,24.91864267985026,0.07097196578979492
2023,Burma,73.83379618326823,15.121370951334635,0.17196969191233316
2023,India,91.30479939778645,27.993748982747395,1.3699116706848145
2022,Afghanistan,40.330230712890625,22.668538411458332,5.40220832824707
2022,Bhutan,19.30293909708659,0.7878141403198242,0
2022,Brunei,113.17380777994792,8.770133972167969,0
2022,Cambodia,111.95801798502605,22.12383778889974,0.0625
2022,Nepal,48.18296813964844,16.99307632446289,0.07065924008687337
2022,Indonesia,91.44334920247395,8.703631718953451,0
2022,Iran,56.394927978515625,25.470842997233074,7.8152211507161455
2022,Singapore,83.94602457682292,5.708333969116211,0
2022,Laos,59.07157897949219,5.353377024332683,0
2022,Malaysia,96.89833577473958,7.241794586181641,0
2022,Maldives,41.49469502766927,0,0
2022,Pakistan,90.28221638997395,43.6250254313151,7.026479085286458
2022,Philippines,81.02988688151042,4.949467658996582,0
2022,Sri Lanka,79.13806660970052,7.337116241455078,0
2022,Thailand,92.108123779296875,14.221688588460287,0.07371794680754344
2022,Timor-Leste,79.7459716796875,0.7267389297485352,0
2022,Vietnam,64.89851379394531,10.187601725260416,0.041666666666666664
2022,Bangladesh,93.428619384765625,17.277718861897785,0.041666666666666664
2022,Burma,69.05860392252605,12.476056416829428,0.07870370149612427
2022,India,87.5289306640625,31.74010976155599,2.683849652608236
2021,Afghanistan,41.438367207845054,23.439234415690105,5.563559850056966
2021,Bhutan,18.802806854248047,0.21904458602269491,0
2021,Brunei,117.78291829427083,9.382566452026367,0
2021,Cambodia,109.00803629557292,25.057825724283855,0.041666666666666664
2021,Nepal,39.31562042236328,10.42503293355306,0
2021,Indonesia,88.8670145670573,7.950339635213216,0
2021,Iran,59.135894775390625,27.933186848958332,9.230768839518229
2021,Singapore,74.55708312988281,5.208333651224772,0
2021,Laos,62.27569071451823,8.240928649902344,0
2021,Malaysia,98.7081298828125,7.489513397216797,0
2021,Maldives,39.60326639811198,0,0
2021,Pakistan,93.60863240559895,45.90072123209635,5.997847239176433
2021,Philippines,79.62120564778645,6.0182679494222,0.041666666666666664
2021,Sri Lanka,80.1057840983073,8.208953221638998,0
2021,Thailand,91.34932454427083,17.98680877685547,0.1011904776096344
2021,Timor-Leste,72.35295104980469,2.6849915186564126,0
2021,Vietnam,68.23302205403645,11.961944580078125,0.061330790321032204
2021,Bangladesh,93.5889892578125,21.426554361979168,0.041666666666666664
2021,Burma,68.00665283203125,14.323888142903646,0.26666667064030963
2021,India,85.01277669270833,26.704254150390625,2.000197092692057
2020,Afghanistan,36.75803883870443,21.485605875651043,5.344938278198242
2020,Bhutan,5.56324831644694,0.7411271731058756,0
2020,Brunei,122.6687520345052,14.696531931559244,0
2020,Cambodia,122.26620483398438,33.03306325276693,0.2941247622172038
2020,Nepal,39.94800567626953,9.70832633972168,0.0751658429702123
2020,Indonesia,92.451202392578125,8.893232981363932,0
2020,Iran,51.4719492594401,24.979573567708332,9.426482518513998
2020,Singapore,74.82169596354167,5.583333333333333,0
2020,Laos,68.3284200032552,10.173291524251303,0
2020,Malaysia,101.76329549153645,8.363919576009115,0
2020,Maldives,58.258870442708336,0,0
2020,Pakistan,90.59914143880208,45.76336669921875,8.471717834472656
2020,Philippines,87.37164306640625,7.280162175496419,0
2020,Sri Lanka,89.71422322591145,14.702481587727865,0
2020,Thailand,104.12047322591145,25.1140874226888,0.29617738723754883
2020,Timor-Leste,77.26968892415364,3.420188585917155,0
2020,Vietnam,73.11837259928386,15.038973490397135,0.2451017697652181
2020,Bangladesh,89.13881429036458,17.79409662882487,0
2020,Burma,70.80835469563802,14.486333211263021,0.3075000047683716
2020,India,87.97196451822917,29.297780354817707,2.3039747873942056
2019,Afghanistan,39.64999643961588,23.657188415527344,6.164571126302083
2019,Bhutan,8.983357747395834,0.9476501146952311,0
2019,Brunei,127.8073018391927,16.072275797526043,0
2019,Cambodia,121.45765177408855,33.105115254720054,0.26428453127543133
2019,Nepal,45.587544759114586,16.67928187052409,0.18783942858378092
2019,Indonesia,92.723663330078125,10.813870747884115,0
2019,Iran,54.89810689290365,26.959325154622395,9.736040751139322
2019,Singapore,76.78985595703125,6.625,0
2019,Laos,72.74888610839844,9.66980234781901,0
2019,Malaysia,108.22119140625,10.756393432617188,0
2019,Maldives,59.89292907714844,0,0
2019,Pakistan,89.61531575520833,46.4496815999349,8.51022466023763
2019,Philippines,79.65329488118489,7.1123708089192705,0
2019,Sri Lanka,88.65547688802083,15.325490315755209,0
